iern,school_id,school_name,region,division,district,leg_district,latitude,longitude,match_key,linear_distance_km,distance_outlier_percentile,nearby_school_count,isolation_forest_score,isolation_forest_outlier,coordinate_outlier_category,coordinate_outlier_method
2026-44768,316714,Malaya National High School,REGION XII,SOUTH COTABATO,BANGA SOUTH,2ND DISTRICT,6.2224503,124.4459255,regionxii_southcotabato,53.079422,98.44,2,4.416152,TRUE,isolation_forest_outlier,isolation_forest
2026-19179,109037,Matangcap Elementary School,REGION IV-A,QUEZON,PANUKULAN,1ST DISTRICT,15.030469,121.881311,iva_quezon,121.218377,94.78,5,7.984113,TRUE,isolation_forest_outlier,isolation_forest
2026-40906,127973,Besigan Elementary School,REGION X,CAGAYAN DE ORO CITY,CAGAYAN DE ORO CITY SOUTHWEST DISTRICT II,1ST DISTRICT,8.1741569,124.5662447,regionx_cagayandeoro,30.014266,99.13,2,10.251769,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-17889,108191,Palma Elementary School,REGION IV-A,LAGUNA,ALAMINOS,3RD DISTRICT,14.034106,121.2296426,iva_laguna,33.822061,100,12,5.322055,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-19175,109028,Calasumanga Elementary School,REGION IV-A,QUEZON,PANUKULAN,1ST DISTRICT,14.9886592,121.8786021,iva_quezon,116.608271,92.9,3,7.660848,TRUE,isolation_forest_outlier,isolation_forest
2026-38648,122164,Libertad Elementary School,REGION VIII,MAASIN CITY,MAASIN CITY IV,LONE DISTRICT,10.236071,124.942644,regionviii_maasin,16.659542,100,7,4.770714,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-40543,127776,Cadena De Amor Elementary School,REGION X,MISAMIS ORIENTAL,MAGSAYSAY I (MAGSAYSAY DISTRICT),1ST DISTRICT,9.0258306,125.2216691,regionx_misamisoriental,92.353991,99.29,9,5.658188,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-03801,132816,Tigbawan Primary School,CARAGA,SURIGAO DEL SUR,LINGIG I,2ND DISTRICT,7.8986111,126.3536111,caraga_surigaodelsur,132.887559,100,2,5.398581,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-07804,100174,Pasaleng Elementary School,REGION I,ILOCOS NORTE,ADAMS-PAGUDPUD,1ST DISTRICT,18.548586,120.936255,regioni_ilocosnorte,52.558528,98.9,2,5.882612,TRUE,isolation_forest_outlier,isolation_forest
2026-41319,501121,Cambangon Integrated School,REGION X,VALENCIA CITY,DISTRICT II,4TH DISTRICT,7.995573,124.910841,regionx_valencia,22.240719,98.46,2,4.995793,TRUE,isolation_forest_outlier,isolation_forest
2026-06683,111494,Sta. Lourdes Elementary School,MIMAROPA,PUERTO PRINCESA CITY,PUERTO PRINCESA II DISTRICT,2ND DISTRICT,9.980593297,122.7872902,mimaropa_puertoprincesa,444.989397,98.02,0,64.861881,TRUE,isolation_forest_outlier,isolation_forest
2026-13979,158511,Kawit ES,REGION III,BULACAN,DONA REMEDIOS TRINIDAD,3RD DISTRICT,15.242908,121.149361,regioniii_bulacan,56.007943,99.41,3,7.775997,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-42905,137081,New Tawas Elementary School,REGION XI,DAVAO CITY,MARILOG,3RD DISTRICT,7.5228603,125.2221444,regionxi_davao,65.799258,99.54,2,5.766608,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-11760,103556,Marikit Elementary School,REGION II,ISABELA,PALANAN,1ST DISTRICT,17.04564,122.42755,regionii_isabela,58.480901,83.37,11,7.335067,TRUE,isolation_forest_outlier,isolation_forest
2026-28097,115775,Buri PS,REGION VI,CAPIZ,TAPAZ EAST,2ND DISTRICT,11.209742,122.399744,regionvi_capiz,58.116065,99.79,2,5.542926,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-07130,136613,Maypajo Elementary School,NCR,CALOOCAN CITY,AROMAR (AROMAHAN-MARULAS),2ND DISTRICT,14.63799,120.973,ncr_caloocan,11.804069,98.88,27,4.774834,TRUE,isolation_forest_outlier,isolation_forest
2026-26443,310206,Cagbacong High School,REGION V,LEGASPI CITY,ALBAY II DISTRICT,2ND DISTRICT,13.009264,123.785026,regionv_legaspi,15.542937,100,4,8.715154,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-13977,158507,Duplas ES,REGION III,BULACAN,DONA REMEDIOS TRINIDAD,3RD DISTRICT,15.2500191,121.0885036,regioniii_bulacan,52.731395,98.44,5,7.265716,TRUE,isolation_forest_outlier,isolation_forest
2026-07930,100276,Barcelona Elementary School,REGION I,ILOCOS NORTE,SOLSONA,2ND DISTRICT,12.876823,121.970601,regioni_ilocosnorte,610.532569,99.73,0,74.672781,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-16412,229001,Sapang Kawayan Elementary School,REGION III,GAPAN CITY,GAPAN NORTH,4TH DISTRICT,15.284803,121.089111,regioniii_gapan,15.421703,100,2,6.335476,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-08743,300108,Cuenca National High School,REGION I,LA UNION,PUGO,2ND DISTRICT,16.249559,120.494141,regioni_launion,44.843837,96.89,18,3.622078,TRUE,isolation_forest_outlier,isolation_forest
2026-08117,100463,Bab-asig Elementary School,REGION I,ILOCOS SUR,CERVANTES-QUIRINO,2ND DISTRICT,17.11381,120.75432,regioni_ilocossur,64.348226,80.83,3,6.690148,TRUE,isolation_forest_outlier,isolation_forest
2026-44928,316701,Surallah National High School,REGION XII,SOUTH COTABATO,SURALLAH NORTH,2ND DISTRICT,5.88755,124.9228,regionxii_southcotabato,68.297109,99.74,0,6.619493,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-01289,135641,Baguyos PS,CAR,BENGUET,MANKAYAN,LONE DISTRICT,16.91854,120.76292,car_benguet,57.791373,99.07,7,3.539585,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-02945,131690,San Vicente Primary School,CARAGA,AGUSAN DEL SUR,ESPERANZA III,1ST DISTRICT,8.489077,125.405414,caraga_agusandelsur,58.872868,85.19,1,4.072645,TRUE,isolation_forest_outlier,isolation_forest
2026-38906,126558,Bangcud Central School,REGION X,MALAYBALAY CITY,MALAYBALAY CITY DISTRICT VII,2ND DISTRICT,12.885835,121.787434,regionx_malaybalay,642.451171,100,0,164.905732,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-07291,136715,Palanan Elementary School,NCR,MAKATI CITY,MAKATI CITY DISTRICT VI,1ST DISTRICT,14.5606851,121.0015,ncr_makati,4.484228,100,22,2.656922,FALSE,extreme_outlier,univariate_percentile
2026-27249,310705,Semirara National High School,REGION VI,ANTIQUE,CALUYA,LONE DISTRICT,12.068877,121.395304,regionvi_antique,158.774546,99.63,3,15.023615,TRUE,extreme_outlier,univariate_percentile+isolation_forest
