region,division,position_description,category,plantilla_position,personnel_count
Negros Island Region (NIR),Division of Bayawan City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region XI - Davao,Division of Mati City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region IVA - CALABARZON,Division of General Trias City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region VI - Western Visayas,Division of Aklan,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region XI - Davao,Division of Panabo City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region XI - Davao,Division of Tagum City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region XI - Davao,Division of Tagum City,Guidance Counselor III,Related-Teaching Personnel,Filled,5
Region IVA - CALABARZON,Division of Dasmariñas City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,5
Region IVA - CALABARZON,Division of Dasmariñas City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region XII - SOCCSKSARGEN,Division of Cotabato,Guidance Counselor III,Related-Teaching Personnel,Filled,5
Region III - Central Luzon,Division of Nueva Ecija,Guidance Counselor III,Related-Teaching Personnel,Unfilled,5
Region XII - SOCCSKSARGEN,Division of General Santos City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region XII - SOCCSKSARGEN,Division of Kidapawan City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region XII - SOCCSKSARGEN,Division of Koronadal City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region III - Central Luzon,Division of Olongapo City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region VI - Western Visayas,Division of Antique,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region III - Central Luzon,Division of Olongapo City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,5
Region VI - Western Visayas,Division of Antique,Guidance Counselor I,Related-Teaching Personnel,Unfilled,5
Region IVA - CALABARZON,Division of Cavite,Guidance Coordinator III,Related-Teaching Personnel,Filled,5
Region XII - SOCCSKSARGEN,Division of Sarangani,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region XII - SOCCSKSARGEN,Division of South Cotabato,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region IVA - CALABARZON,Division of Calamba City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region III - Central Luzon,Division of Pampanga,Guidance Counselor I,Related-Teaching Personnel,Filled,5
Region XII - SOCCSKSARGEN,Division of Sultan Kudarat,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Cordillera Administrative Region (CAR),Division of Kalinga,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region IVA - CALABARZON,Division of Cabuyao City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region X - Northern Mindanao,Division of Cagayan de Oro City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region X - Northern Mindanao,Division of Cagayan de Oro City,Guidance Counselor I,Related-Teaching Personnel,Filled,4
Region IVA - CALABARZON,Division of Quezon,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region IVB - MIMAROPA,Division of Calapan City,Guidance Counselor III,Related-Teaching Personnel,Filled,4
Region X - Northern Mindanao,Division of Bukidnon,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
National Capital Region (NCR),Division of Makati,Education Program Specialist II,Related-Teaching Personnel,Filled,4
National Capital Region (NCR),Division of Mandaluyong,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region III - Central Luzon,Central Office/Staff Bureaus/ROs,Education Program Specialist II,Related-Teaching Personnel,Filled,4
Region X - Northern Mindanao,Division of Bukidnon,Guidance Counselor I,Related-Teaching Personnel,Filled,4
Region IVB - MIMAROPA,Division of Calapan City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region IVB - MIMAROPA,Division of Marinduque,Guidance Counselor I,Related-Teaching Personnel,Unfilled,4
Region II - Cagayan Valley,Division of Tuguegarao City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region X - Northern Mindanao,Division of Valencia City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region X - Northern Mindanao,Central Office/Staff Bureaus/ROs,Education Program Specialist II,Related-Teaching Personnel,Filled,4
Region XI - Davao,Central Office/Staff Bureaus/ROs,Education Program Specialist II,Related-Teaching Personnel,Filled,4
Region VIII - Eastern Visayas,Division of Tacloban City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
National Capital Region (NCR),Division of Las Piñas,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
National Capital Region (NCR),Division of Valenzuela,Education Program Specialist II,Related-Teaching Personnel,Filled,4
Region VIII - Eastern Visayas,Division of Southern Leyte,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region IVB - MIMAROPA,Division of Marinduque,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
National Capital Region (NCR),Division of Las Piñas,Registrar I,Related-Teaching Personnel,Filled,4
Region II - Cagayan Valley,Division of Tuguegarao City,Education Program Specialist II,Related-Teaching Personnel,Filled,4
Region XI - Davao,Division of Davao City,Guidance Coordinator III,Related-Teaching Personnel,Filled,4
Cordillera Administrative Region (CAR),Division of Benguet,Education Program Specialist II,Related-Teaching Personnel,Filled,4
National Capital Region (NCR),Division of Taguig and Pateros,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region VIII - Eastern Visayas,Division of Samar,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region VIII - Eastern Visayas,Division of Samar,Guidance Counselor I,Related-Teaching Personnel,Unfilled,4
Region IVB - MIMAROPA,Division of Occidental Mindoro,School Librarian I,Related-Teaching Personnel,Filled,4
Region VIII - Eastern Visayas,Division of Ormoc City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region VIII - Eastern Visayas,Division of Ormoc City,Registrar I,Related-Teaching Personnel,Filled,4
National Capital Region (NCR),Division of Marikina,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Cordillera Administrative Region (CAR),Division of Abra,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region V - Bicol,Division of Sorsogon,Guidance Counselor I,Related-Teaching Personnel,Filled,4
Region XI - Davao,Division of Davao City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region III - Central Luzon,Division of Bulacan,Guidance Counselor III,Related-Teaching Personnel,Filled,4
Negros Island Region (NIR),Division of Silay City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,4
Negros Island Region (NIR),Division of Negros Occidental,School Librarian I,Related-Teaching Personnel,Filled,4
Region IVA - CALABARZON,Division of Batangas,Guidance Counselor II,Related-Teaching Personnel,Filled,4
Region II - Cagayan Valley,Division of Quirino,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region VIII - Eastern Visayas,Division of Leyte,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region II - Cagayan Valley,Division of Quirino,Registrar I,Related-Teaching Personnel,Filled,4
Region VIII - Eastern Visayas,Division of Leyte,School Librarian I,Related-Teaching Personnel,Filled,4
Region IVA - CALABARZON,Division of Lucena City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
National Capital Region (NCR),Division of Parañaque,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region V - Bicol,Division of Naga City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region III - Central Luzon,Division of Bulacan,School Librarian III,Related-Teaching Personnel,Filled,4
Negros Island Region (NIR),Division of Dumaguete City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region II - Cagayan Valley,Division of Quirino,Guidance Counselor III,Related-Teaching Personnel,Filled,4
Region IVB - MIMAROPA,Division of Oriental Mindoro,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region VIII - Eastern Visayas,Division of Eastern Samar,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region II - Cagayan Valley,Division of Quirino,Education Program Specialist II,Related-Teaching Personnel,Filled,4
Region III - Central Luzon,Division of Bulacan,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Negros Island Region (NIR),Division of Bago City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region XI - Davao,Division of Davao de Oro,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region IVB - MIMAROPA,Division of Palawan,Public Schools District Supervisor,Related-Teaching Personnel,Unfilled,4
Region XIII - CARAGA,Division of Butuan City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Negros Island Region (NIR),Division of Cadiz City,Registrar I,Related-Teaching Personnel,Filled,4
Region VIII - Eastern Visayas,Division of Catbalogan City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region IVA - CALABARZON,Division of Lipa City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region XIII - CARAGA,Division of Butuan City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,4
Region IVB - MIMAROPA,Division of Palawan,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
National Capital Region (NCR),Division of Muntinlupa,Guidance Counselor I,Related-Teaching Personnel,Unfilled,4
Region VIII - Eastern Visayas,Division of Calbayog City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region II - Cagayan Valley,Division of Nueva Vizcaya,School Librarian I,Related-Teaching Personnel,Filled,4
Region II - Cagayan Valley,Division of Nueva Vizcaya,Registrar I,Related-Teaching Personnel,Filled,4
Region IVA - CALABARZON,Division of Calamba City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region XII - SOCCSKSARGEN,Division of Sarangani,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region XI - Davao,Division of Davao del Norte,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region III - Central Luzon,Division of Olongapo City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region IVB - MIMAROPA,Division of Puerto Princesa City,Guidance Counselor III,Related-Teaching Personnel,Filled,4
Region IVA - CALABARZON,Division of Batangas,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region III - Central Luzon,Division of Cabanatuan City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region XIII - CARAGA,Division of Butuan City,Education Program Specialist II,Related-Teaching Personnel,Filled,4
Region V - Bicol,Division of Catanduanes,School Librarian III,Related-Teaching Personnel,Unfilled,4
Region IVB - MIMAROPA,Division of Romblon,Education Program Specialist II,Related-Teaching Personnel,Filled,4
Region IVA - CALABARZON,Division of Laguna,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
National Capital Region (NCR),Division of Caloocan,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Cordillera Administrative Region (CAR),Division of Abra,Education Program Specialist II,Related-Teaching Personnel,Filled,4
Region II - Cagayan Valley,Division of Nueva Vizcaya,Education Program Specialist II,Related-Teaching Personnel,Filled,4
Region VIII - Eastern Visayas,Division of Biliran,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Cordillera Administrative Region (CAR),Division of Benguet,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region II - Cagayan Valley,Division of Isabela,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region III - Central Luzon,Division of Gapan City,Guidance Counselor III,Related-Teaching Personnel,Unfilled,4
Region VIII - Eastern Visayas,Division of Biliran,Registrar I,Related-Teaching Personnel,Filled,4
Negros Island Region (NIR),Division of San Carlos City,Registrar I,Related-Teaching Personnel,Filled,4
Region XI - Davao,Division of Davao del Sur,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
National Capital Region (NCR),Division of Malabon City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,4
Cordillera Administrative Region (CAR),Division of Apayao,Guidance Counselor II,Related-Teaching Personnel,Unfilled,4
Region XI - Davao,Division of Davao Occidental,Education Program Specialist II,Related-Teaching Personnel,Filled,4
Region I - Ilocos,Division of Pangasinan I,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Cordillera Administrative Region (CAR),Division of Apayao,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Region IVA - CALABARZON,Division of Cabuyao City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Cordillera Administrative Region (CAR),Division of Ifugao,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
Cordillera Administrative Region (CAR),Division of Mt. Province,Senior Education Program Specialist,Related-Teaching Personnel,Filled,4
