region,division,position,classification,status,number
Region I - Ilocos,Division of Urdaneta City,School Principal IV,School Head Positions,Filled,20
Region I - Ilocos,Division of Urdaneta City,Assistant School Principal I,School Head Positions,Filled,0
Region I - Ilocos,Division of Urdaneta City,Assistant School Principal II,School Head Positions,Filled,3
Region I - Ilocos,Division of Urdaneta City,Assistant School Principal III,School Head Positions,Filled,0
Region I - Ilocos,Division of Urdaneta City,Special School Principal I,School Head Positions,Filled,0
Region I - Ilocos,Division of Urdaneta City,Special School Principal II,School Head Positions,Filled,0
Region I - Ilocos,Division of Urdaneta City,Assistant Special School Principal I,School Head Positions,Filled,0
Region I - Ilocos,Division of Urdaneta City,Head Teacher I,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Urdaneta City,Head Teacher II,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Urdaneta City,Head Teacher III,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Urdaneta City,Head Teacher IV,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Urdaneta City,Head Teacher V,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Urdaneta City,Head Teacher VI,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Urdaneta City,School Principal I,School Head Positions,Unfilled,3
Region I - Ilocos,Division of Urdaneta City,School Principal II,School Head Positions,Unfilled,1
Region I - Ilocos,Division of Urdaneta City,School Principal III,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Urdaneta City,School Principal IV,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Urdaneta City,Assistant School Principal I,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Urdaneta City,Assistant School Principal II,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Urdaneta City,Assistant School Principal III,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Urdaneta City,Special School Principal I,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Urdaneta City,Special School Principal II,School Head Positions,Unfilled,0
Region I - Ilocos,Division of Urdaneta City,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region II - Cagayan Valley,Division of Tuguegarao City,Head Teacher I,School Head Positions,Filled,0
Region II - Cagayan Valley,Division of Tuguegarao City,Head Teacher II,School Head Positions,Filled,0
Region II - Cagayan Valley,Division of Tuguegarao City,Head Teacher III,School Head Positions,Filled,2
Region II - Cagayan Valley,Division of Tuguegarao City,Head Teacher IV,School Head Positions,Filled,0
Region II - Cagayan Valley,Division of Tuguegarao City,Head Teacher V,School Head Positions,Filled,0
Region II - Cagayan Valley,Division of Tuguegarao City,Head Teacher VI,School Head Positions,Filled,7
Region II - Cagayan Valley,Division of Tuguegarao City,School Principal I,School Head Positions,Filled,9
Region II - Cagayan Valley,Division of Tuguegarao City,School Principal II,School Head Positions,Filled,9
Region II - Cagayan Valley,Division of Tuguegarao City,School Principal III,School Head Positions,Filled,6
Region II - Cagayan Valley,Division of Tuguegarao City,School Principal IV,School Head Positions,Filled,6
Region II - Cagayan Valley,Division of Tuguegarao City,Assistant School Principal I,School Head Positions,Filled,0
Region II - Cagayan Valley,Division of Tuguegarao City,Assistant School Principal II,School Head Positions,Filled,1
Region II - Cagayan Valley,Division of Tuguegarao City,Assistant School Principal III,School Head Positions,Filled,0
Region II - Cagayan Valley,Division of Tuguegarao City,Special School Principal I,School Head Positions,Filled,0
Region II - Cagayan Valley,Division of Tuguegarao City,Special School Principal II,School Head Positions,Filled,0
Region II - Cagayan Valley,Division of Tuguegarao City,Assistant Special School Principal I,School Head Positions,Filled,0
Region II - Cagayan Valley,Division of Tuguegarao City,Head Teacher I,School Head Positions,Unfilled,1
Region II - Cagayan Valley,Division of Tuguegarao City,Head Teacher II,School Head Positions,Unfilled,0
Region II - Cagayan Valley,Division of Tuguegarao City,Head Teacher III,School Head Positions,Unfilled,0
Region II - Cagayan Valley,Division of Tuguegarao City,Head Teacher IV,School Head Positions,Unfilled,0
Region II - Cagayan Valley,Division of Tuguegarao City,Head Teacher V,School Head Positions,Unfilled,0
Region II - Cagayan Valley,Division of Tuguegarao City,Head Teacher VI,School Head Positions,Unfilled,0
Region II - Cagayan Valley,Division of Tuguegarao City,School Principal I,School Head Positions,Unfilled,1
Region II - Cagayan Valley,Division of Tuguegarao City,School Principal II,School Head Positions,Unfilled,2
Region II - Cagayan Valley,Division of Tuguegarao City,School Principal III,School Head Positions,Unfilled,2
Region II - Cagayan Valley,Division of Tuguegarao City,School Principal IV,School Head Positions,Unfilled,0
Region II - Cagayan Valley,Division of Tuguegarao City,Assistant School Principal I,School Head Positions,Unfilled,0
Region II - Cagayan Valley,Division of Tuguegarao City,Assistant School Principal II,School Head Positions,Unfilled,1
Region II - Cagayan Valley,Division of Tuguegarao City,Assistant School Principal III,School Head Positions,Unfilled,0
Region II - Cagayan Valley,Division of Tuguegarao City,Special School Principal I,School Head Positions,Unfilled,0
Region II - Cagayan Valley,Division of Tuguegarao City,Special School Principal II,School Head Positions,Unfilled,0
Region II - Cagayan Valley,Division of Tuguegarao City,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Toledo City,Head Teacher I,School Head Positions,Filled,10
Region VII - Central Visayas,Division of Toledo City,Head Teacher II,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Toledo City,Head Teacher III,School Head Positions,Filled,8
Region VII - Central Visayas,Division of Toledo City,Head Teacher IV,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Toledo City,Head Teacher V,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Toledo City,Head Teacher VI,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Toledo City,School Principal I,School Head Positions,Filled,49
Region VII - Central Visayas,Division of Toledo City,School Principal II,School Head Positions,Filled,8
Region VII - Central Visayas,Division of Toledo City,School Principal III,School Head Positions,Filled,1
Region VII - Central Visayas,Division of Toledo City,School Principal IV,School Head Positions,Filled,1
Region VII - Central Visayas,Division of Toledo City,Assistant School Principal I,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Toledo City,Assistant School Principal II,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Toledo City,Assistant School Principal III,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Toledo City,Special School Principal I,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Toledo City,Special School Principal II,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Toledo City,Assistant Special School Principal I,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Toledo City,Head Teacher I,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Toledo City,Head Teacher II,School Head Positions,Unfilled,1
Region VII - Central Visayas,Division of Toledo City,Head Teacher III,School Head Positions,Unfilled,2
Region VII - Central Visayas,Division of Toledo City,Head Teacher IV,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Toledo City,Head Teacher V,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Toledo City,Head Teacher VI,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Toledo City,School Principal I,School Head Positions,Unfilled,1
Region VII - Central Visayas,Division of Toledo City,School Principal II,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Toledo City,School Principal III,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Toledo City,School Principal IV,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Toledo City,Assistant School Principal I,School Head Positions,Unfilled,2
Region VII - Central Visayas,Division of Toledo City,Assistant School Principal II,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Toledo City,Assistant School Principal III,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Toledo City,Special School Principal I,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Toledo City,Special School Principal II,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Toledo City,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tayabas City,Head Teacher I,School Head Positions,Filled,2
Region IVA - CALABARZON,Division of Tayabas City,Head Teacher II,School Head Positions,Filled,0
Region IVA - CALABARZON,Division of Tayabas City,Head Teacher III,School Head Positions,Filled,5
Region IVA - CALABARZON,Division of Tayabas City,Head Teacher IV,School Head Positions,Filled,7
Region IVA - CALABARZON,Division of Tayabas City,Head Teacher V,School Head Positions,Filled,0
Region IVA - CALABARZON,Division of Tayabas City,Head Teacher VI,School Head Positions,Filled,0
Region IVA - CALABARZON,Division of Tayabas City,School Principal I,School Head Positions,Filled,10
Region IVA - CALABARZON,Division of Tayabas City,School Principal II,School Head Positions,Filled,9
Region IVA - CALABARZON,Division of Tayabas City,School Principal III,School Head Positions,Filled,4
Region IVA - CALABARZON,Division of Tayabas City,School Principal IV,School Head Positions,Filled,2
Region IVA - CALABARZON,Division of Tayabas City,Assistant School Principal I,School Head Positions,Filled,1
Region IVA - CALABARZON,Division of Tayabas City,Assistant School Principal II,School Head Positions,Filled,2
Region IVA - CALABARZON,Division of Tayabas City,Assistant School Principal III,School Head Positions,Filled,0
Region IVA - CALABARZON,Division of Tayabas City,Special School Principal I,School Head Positions,Filled,0
Region IVA - CALABARZON,Division of Tayabas City,Special School Principal II,School Head Positions,Filled,0
Region IVA - CALABARZON,Division of Tayabas City,Assistant Special School Principal I,School Head Positions,Filled,0
Region IVA - CALABARZON,Division of Tayabas City,Head Teacher I,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tayabas City,Head Teacher II,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tayabas City,Head Teacher III,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tayabas City,Head Teacher IV,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tayabas City,Head Teacher V,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tayabas City,Head Teacher VI,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tayabas City,School Principal I,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tayabas City,School Principal II,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tayabas City,School Principal III,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tayabas City,School Principal IV,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tayabas City,Assistant School Principal I,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tayabas City,Assistant School Principal II,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tayabas City,Assistant School Principal III,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tayabas City,Special School Principal I,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tayabas City,Special School Principal II,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tayabas City,Assistant Special School Principal I,School Head Positions,Unfilled,0
